,title,video_url,thumbnail_url,views,upload time
0,This came out Bussin! #FYP #Dpeezy2099 #Tiktok,https://www.youtube.com/shorts/ErUJLbwr8CU,https://i.ytimg.com/vi/ErUJLbwr8CU/hq2.jpg,420K views,18 hours ago
1,Grupo Firme & Maluma - Cada Quien (Official Video),https://www.youtube.com/watch?v=qz2vodkoj7I,https://i.ytimg.com/vi/qz2vodkoj7I/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBLUIYzD6JbqqXAJBe0DNn2rWg2zQ,420K views,18 hours ago
2,French Montana & Doja Cat ft. Saweetie - Handstand (Official Music Video),https://www.youtube.com/watch?v=CdcRRjC8jqQ,https://i.ytimg.com/vi/CdcRRjC8jqQ/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAVWJcSLcm5moFvmTacOz0Mhmu9hA,420K views,18 hours ago
3,Minecraft's Funniest YouTuber Talent Show...,https://www.youtube.com/watch?v=a3ejYq70wps,,420K views,18 hours ago
4,I Bought The First 5 Things TikTok Ads Recommended To Me,https://www.youtube.com/watch?v=ugYPoWShl6k,,420K views,18 hours ago
5,Nam nam nam 😅 Nadir 👉 TikTok #shorts,https://www.youtube.com/shorts/A5-0qodYEYg,,420K views,18 hours ago
6,A MESSAGE FROM NICK,https://www.youtube.com/watch?v=2JcCc7ZivXY,,420K views,18 hours ago
7,Asking My ROOMMATE on a DATE!,https://www.youtube.com/watch?v=a5HaM6bef94,,420K views,18 hours ago
8,Quando Rondo - Shine [ Official Video],https://www.youtube.com/watch?v=eUSopVfGMxE,,420K views,18 hours ago
9,The Return | The Book of Boba Fett | Disney+,https://www.youtube.com/watch?v=Bi9GRafMz2E,,420K views,18 hours ago
